,trader_name,daily_roi,weekly_roi,monthly_roi,all_roi,daily_pnl,weekly_pnl,monthly_pnl,all_pnl,number_of_trade,traded_open_dates,traded_symbols,traded_leverages,traded_types,traded_size,traded_open_price,traded_market_price,trade_pnl,trade_roi
534,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25243', '5.671']","['782.60', '485.16']","['(62.2959%)', '(78.4789%)']"
535,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
536,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,677.40']",['-1.38'],['(-0.0279%)']
537,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25244', '5.670']","['783.84', '480.80']","['(62.3932%)', '(77.7873%)']"
538,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
539,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,676.20']",['-13.07'],['(-0.2654%)']
540,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25248', '5.671']","['792.12', '485.16']","['(63.0417%)', '(78.4789%)']"
541,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
542,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,676.97']",['-5.61'],['(-0.1139%)']
543,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25250', '5.671']","['796.26', '485.44']","['(63.3663%)', '(78.5230%)']"
544,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
545,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,676.23']",['-12.77'],['(-0.2594%)']
